,baseSetSize,link,name,parentCode,totalSetSize,type
0,0,https://www.mtgjson.com/json/P15A.json,15th Anniversary Cards,P15A,2,promo
1,0,https://www.mtgjson.com/json/HTR.json,2016 Heroes of the Realm,HTR,3,funny
2,0,https://www.mtgjson.com/json/G17.json,2017 Gift Pack,G17,5,box
3,0,https://www.mtgjson.com/json/HTR17.json,2017 Heroes of the Realm,HTR17,3,funny
4,0,https://www.mtgjson.com/json/PLNY.json,2018 Lunar New Year,PLNY,1,promo
5,184,https://www.mtgjson.com/json/AER.json,Aether Revolt,AER,197,expansion
6,0,https://www.mtgjson.com/json/PAER.json,Aether Revolt Promos,PAER,58,promo
7,145,https://www.mtgjson.com/json/ARB.json,Alara Reborn,ARB,145,expansion
8,199,https://www.mtgjson.com/json/ALL.json,Alliances,ALL,199,expansion
9,269,https://www.mtgjson.com/json/AKH.json,Amonkhet,AKH,287,expansion
10,54,https://www.mtgjson.com/json/MP2.json,Amonkhet Invocations,MP2,54,masterpiece
11,0,https://www.mtgjson.com/json/PAKH.json,Amonkhet Promos,PAKH,72,promo
12,0,https://www.mtgjson.com/json/ATH.json,Anthologies,ATH,85,box
13,100,https://www.mtgjson.com/json/ATQ.json,Antiquities,ATQ,101,expansion
14,143,https://www.mtgjson.com/json/APC.json,Apocalypse,APC,143,expansion
15,78,https://www.mtgjson.com/json/ARN.json,Arabian Nights,ARN,92,expansion
16,0,https://www.mtgjson.com/json/ARC.json,Archenemy,ARC,150,archenemy
17,0,https://www.mtgjson.com/json/OARC.json,Archenemy Schemes,OARC,45,archenemy
18,0,https://www.mtgjson.com/json/E01.json,Archenemy: Nicol Bolas,E01,106,archenemy
19,0,https://www.mtgjson.com/json/OE01.json,Archenemy: Nicol Bolas Schemes,OE01,20,archenemy
20,0,https://www.mtgjson.com/json/PARL.json,Arena League 1996,PARL,7,promo
21,0,https://www.mtgjson.com/json/PAL99.json,Arena League 1999,PAL99,10,promo
22,0,https://www.mtgjson.com/json/PAL00.json,Arena League 2000,PAL00,11,promo
23,0,https://www.mtgjson.com/json/PAL01.json,Arena League 2001,PAL01,12,promo
24,0,https://www.mtgjson.com/json/PAL02.json,Arena League 2002,PAL02,5,promo
25,0,https://www.mtgjson.com/json/PAL03.json,Arena League 2003,PAL03,8,promo
26,0,https://www.mtgjson.com/json/PAL04.json,Arena League 2004,PAL04,14,promo
27,0,https://www.mtgjson.com/json/PAL05.json,Arena League 2005,PAL05,8,promo
28,0,https://www.mtgjson.com/json/PAL06.json,Arena League 2006,PAL06,9,promo
29,0,https://www.mtgjson.com/json/ANA.json,Arena New Player Experience,ANA,51,starter
30,0,https://www.mtgjson.com/json/PALP.json,Asia Pacific Land Program,PALP,15,promo
31,244,https://www.mtgjson.com/json/AVR.json,Avacyn Restored,AVR,244,expansion
32,0,https://www.mtgjson.com/json/PAVR.json,Avacyn Restored Promos,PAVR,5,promo
33,0,https://www.mtgjson.com/json/PSS1.json,BFZ Standard Series,PSS1,5,promo
